voltageLevelId;xPosition;yPosition;xLabelPosition;yLabelPosition
BAIGTP3;263396;-1832255;263836;-1833649
BAILLP4;632998;-2640536;633102;-2637732
BAIXAP1;562097;-1708468;562097;-1708468
BAIXAP3;562097;-1708468;556792;-1715254
BAIXAP6;539400;-1692595;528255;-1703827
BAIXAP7;548932;-1706868;540602;-1713099
BAJATP3;867919;-1989094;867135;-1989915
BALANP3;795916;-2078422;800513;-2077053
BALARP3;663482;-1786325;666714;-1787770
BALARP6;653273;-1786007;650299;-1777950
BALDIP3;651342;-1766768;651682;-1768345
BALLOP4;676525;-2638979;675136;-2636160
BALMAP3;499072;-1871919;499388;-1874856
BALMAP6;489267;-1883230;488399;-1885113
BANCAP3;974374;-1793012;977862;-1793269
BANCAP5;941630;-1826470;944260;-1825513
BANNAP3;122784;-2387356;123353;-2383919
BANNEP3;586298;-2138805;585989;-2133817
BAOUSP3;566475;-1849045;571667;-1846235
BARAGP3;242014;-1798196;237535;-1797693
BARALP1;262949;-1752545;262949;-1752545
BARALP3;262949;-1752545;261586;-1746470
BARAQP3;547702;-1932048;543834;-1931054
BARBAP1;300151;-1936869;300151;-1936869
BARBAP6;300651;-1936869;300651;-1936869
BARBEP4;371292;-2088103;367166;-2086236
BARBOP3;317303;-1878792;317303;-1878792
BARBUP3;773020;-2386501;777249;-2383921
BARBUP6;781363;-2389007;788092;-2384398
BARCEP3;943281;-1913402;943301;-1914769
BARETP4;540344;-2576433;542737;-2573022
BARJAP6;703500;-1867960;698943;-1872766
BARJOP3;939485;-1755897;939376;-1756899
BARLIP4;612486;-2625825;612643;-2623034
BARNAP7;534747;-2562237;545899;-2568803
BARP P6;278240;-1925102;271945;-1926535
BARQUP6;459759;-2463114;461237;-2453286
BARR6P3;620247;-2525577;620223;-2526877
BARTHP3;343895;-1744102;345505;-1745353
BASCAP3;242562;-1863840;242562;-1863840
BASINP3;769187;-2427335;766998;-2428931
BASS5P3;337766;-2007781;343539;-2007275
BASS6P3;831898;-2271900;828969;-2273193
BASSEP3;328520;-2008577;331047;-2012300
BAST5P3;914079;-1782600;914136;-1779620
BASTIP3;323616;-1775834;319351;-1769401
BASTIP5;313726;-1781785;309040;-1783333
BASTIP6;332966;-1768926;333934;-1771869
BATAVP4;609081;-2655423;608063;-2652340
BATELP6;635086;-2431569;639222;-2424530
BATHIP3;920071;-2015793;920071;-2015793
BATHIP6;934702;-2024242;928307;-2019992
BATHIP7;889623;-2040104;882311;-2030328
BATIGP6;582950;-2478740;578705;-2481607
BATILP3;810345;-2463163;810427;-2464183
BATONP3;881078;-1979140;884911;-1977761
BATZEP6;1035123;-2415927;1040090;-2406537
BAUD P3;172250;-2381386;177435;-2379172
BAUDRP6;572421;-2443537;562761;-2439645
BAUGEP4;398700;-2318006;402844;-2314783
BAULEP3;211014;-2323335;206411;-2321487
BAYARP3;801996;-2357679;800481;-2354060
BAYETP1;637704;-2141696;639368;-2143300
BAYETP3;628049;-2128397;624484;-2127015
BAYETP6;632728;-2135182;617311;-2130665
BAYETP7;634114;-2152455;628005;-2161139
BAYEUP4;363835;-2521736;367715;-2520071
BAYONP3;908877;-2359665;912638;-2359255
BAZANP3;748878;-2510305;748023;-2512193
BAZASP3;353109;-1904478;357280;-1898652
BAZEIP3;768216;-2518047;765983;-2516033
BEC  P3;690723;-1995568;694466;-1994020
BEC5 P6;302951;-2033635;302879;-2035153
BECHEP4;569618;-2058184;569924;-2051456
BECQUP4;665243;-2643399;664813;-2644755
BEDA5P3;791707;-1858520;793662;-1854863
BEDARP3;610267;-1851889;607832;-1848238
BEDOUP3;898728;-1769910;895975;-1768988
BEFFEP3;624490;-2244150;620013;-2244634
BEGL5P3;337418;-1961999;341600;-1963838
BEGLEP3;335683;-1957013;330779;-1952759
BEINHP3;1064048;-2417361;1060660;-2418988
BEL12P4;495696;-2150253;495696;-2150253
BELEMP3;499937;-1757746;505089;-1757017
BELFRP4;352674;-2327136;356596;-2324849
BELICP3;269818;-1879807;270604;-1875088
BELIEP3;273338;-1922443;275017;-1916680
